Timestamp,open,high,low,close
2019-07-16 12:30:00,1111.85,1114.45,1111.85,1112.0
2019-07-16 12:35:00,1112.0,1114.0,1112.0,1113.4
2019-07-16 12:40:00,1113.4,1113.45,1110.0,1112.25
2019-07-16 12:45:00,1112.25,1113.0,1109.7,1112.35
2019-07-16 12:50:00,1112.35,1113.8,1111.0,1113.8
2019-07-16 12:55:00,1113.6,1113.9,1112.15,1113.0
2019-07-16 13:00:00,1113.0,1113.35,1111.95,1112.7
2019-07-16 13:05:00,1112.7,1113.95,1111.65,1113.85
2019-07-16 13:10:00,1113.85,1114.0,1112.55,1112.7
2019-07-16 13:15:00,1112.7,1113.05,1111.55,1112.5
2019-07-16 13:20:00,1112.1,1113.5,1111.3,1113.2
2019-07-16 13:25:00,1113.2,1113.2,1112.0,1112.95
2019-07-16 13:30:00,1112.95,1113.0,1111.95,1112.8
2019-07-16 13:35:00,1112.75,1113.0,1111.1,1112.4
2019-07-16 13:40:00,1112.4,1113.45,1111.85,1112.75
2019-07-16 13:45:00,1112.75,1113.0,1112.1,1112.8
2019-07-16 13:50:00,1112.8,1112.85,1111.55,1112.55
2019-07-16 13:55:00,1112.55,1112.75,1111.55,1112.0
2019-07-16 14:00:00,1112.0,1114.55,1112.0,1113.75
2019-07-16 14:05:00,1114.0,1115.9,1113.65,1115.0
2019-07-16 14:10:00,1114.7,1117.95,1114.65,1116.3
2019-07-16 14:15:00,1116.3,1116.3,1113.1,1113.45
2019-07-16 14:20:00,1113.45,1114.75,1112.25,1114.2
2019-07-16 14:25:00,1114.6,1114.6,1112.3,1113.05
2019-07-16 14:30:00,1113.45,1113.7,1111.3,1112.7
2019-07-16 14:35:00,1112.7,1114.45,1111.5,1113.9
2019-07-16 14:40:00,1113.9,1114.4,1113.0,1113.7
2019-07-16 14:45:00,1113.7,1115.0,1113.45,1115.0
2019-07-16 14:50:00,1115.0,1115.0,1113.35,1114.25
2019-07-16 14:55:00,1114.25,1116.0,1113.95,1115.25
2019-07-16 15:00:00,1115.25,1115.8,1114.0,1115.3
2019-07-16 15:05:00,1115.3,1115.3,1113.0,1115.0
2019-07-16 15:10:00,1114.85,1115.35,1113.45,1114.6
2019-07-16 15:15:00,1114.6,1115.4,1112.7,1115.1
2019-07-16 15:20:00,1115.1,1117.25,1113.7,1113.85
2019-07-16 15:25:00,1113.95,1116.0,1112.6,1113.0
2019-07-16 15:30:00,1113.0,1114.75,1113.0,1114.75
2019-07-16 15:35:00,,,,
2019-07-16 15:40:00,1114.75,1114.75,1114.75,1114.75
2019-07-16 15:45:00,1114.75,1114.75,1114.75,1114.75
2019-07-16 15:50:00,1114.75,1114.75,1114.75,1114.75
2019-07-16 15:55:00,1114.75,1114.75,1114.75,1114.75
2019-07-16 16:00:00,1114.75,1114.75,1114.75,1114.75
2019-07-16 16:05:00,,,,
2019-07-16 16:10:00,,,,
2019-07-16 16:15:00,,,,
2019-07-16 16:20:00,,,,
2019-07-16 16:25:00,,,,
2019-07-16 16:30:00,,,,
2019-07-16 16:35:00,1114.75,1114.75,1114.75,1114.75
2019-07-16 16:40:00,,,,
2019-07-16 16:45:00,,,,
2019-07-16 16:50:00,,,,
2019-07-16 16:55:00,,,,
2019-07-16 17:00:00,,,,
2019-07-16 17:05:00,,,,
2019-07-16 17:10:00,1114.75,1114.75,1114.75,1114.75
2019-07-16 17:15:00,,,,
2019-07-16 17:20:00,1114.75,1114.75,1114.75,1114.75
2019-07-16 17:25:00,,,,
2019-07-16 17:30:00,,,,
2019-07-16 17:35:00,,,,
2019-07-16 17:40:00,1114.75,1114.75,1114.75,1114.75
